City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
88,Saskylakh,RU,2021-02-14 03:38:14,71.9167,114.0833,-29.78,78,52,4.09
89,Vaitape,PF,2021-02-14 03:42:35,-16.5167,-151.75,81.32,70,34,5.95
90,Villablino,ES,2021-02-14 03:42:36,42.9393,-6.3194,37.0,99,99,6.78
91,Bethel,US,2021-02-14 03:42:08,41.3712,-73.414,25.0,46,90,6.91
92,Sao Filipe,CV,2021-02-14 03:42:36,14.8961,-24.4956,69.98,75,0,10.47
93,Beloha,MG,2021-02-14 03:42:36,-25.1667,45.05,75.29,76,100,9.42
94,Longyearbyen,SJ,2021-02-14 03:38:56,78.2186,15.6401,5.0,61,40,9.22
95,Tasiilaq,GL,2021-02-14 03:41:54,65.6145,-37.6368,30.16,93,100,21.77
96,Marand,IR,2021-02-14 03:42:36,38.4329,45.7749,35.6,69,0,6.91
97,Vila Franca Do Campo,PT,2021-02-14 03:39:16,37.7167,-25.4333,57.2,72,20,19.57
98,Nome,US,2021-02-14 03:42:36,64.5011,-165.4064,24.8,54,1,5.75
99,Taltal,CL,2021-02-14 03:42:37,-25.4,-70.4833,66.2,73,0,4.79
100,Maymyo,MM,2021-02-14 03:42:37,22.0333,96.4667,75.2,53,0,5.75
101,Maralal,KE,2021-02-14 03:42:37,1.0968,36.698,59.67,78,33,3.76
102,Khatanga,RU,2021-02-14 03:42:37,71.9667,102.5,-31.67,83,50,6.58
103,Provideniya,RU,2021-02-14 03:42:37,64.3833,-173.3,9.1,91,100,16.89
104,Kapaa,US,2021-02-14 03:42:37,22.0752,-159.319,77.0,69,90,10.36
105,Muros,ES,2021-02-14 03:39:31,42.7762,-9.0603,55.99,81,100,1.01
106,Murchison,NZ,2021-02-14 03:42:37,-41.8,172.3333,76.15,33,100,2.51
107,Luanda,AO,2021-02-14 03:40:48,-8.8368,13.2343,75.2,88,40,5.75
108,Mar Del Plata,AR,2021-02-14 03:39:02,-38.0023,-57.5575,70.0,94,0,4.61
109,Mehamn,NO,2021-02-14 03:42:38,71.0357,27.8492,24.96,89,100,11.95
110,Berdigestyakh,RU,2021-02-14 03:42:38,62.0989,126.6992,-9.63,89,100,7.47
111,Waingapu,ID,2021-02-14 03:42:38,-9.6567,120.2641,85.62,69,100,7.23
112,Chihuahua,MX,2021-02-14 03:42:38,28.5,-106.0,53.6,28,40,4.61
113,Saucillo,MX,2021-02-14 03:42:38,28.0167,-105.2833,59.07,32,50,9.51
114,Saint-Philippe,RE,2021-02-14 03:42:38,-21.3585,55.7679,80.6,69,0,16.11
115,Portland,US,2021-02-14 03:38:08,45.5234,-122.6762,30.0,74,90,4.61
116,Atbasar,KZ,2021-02-14 03:42:39,51.8,68.3333,21.02,96,95,8.59
117,Hami,CN,2021-02-14 03:42:39,42.8,93.45,36.81,67,0,7.56
118,Teguise,ES,2021-02-14 03:42:39,29.0605,-13.564,59.0,88,0,6.91
119,Hamilton,US,2021-02-14 03:38:30,39.1834,-84.5333,26.6,74,90,9.22
120,Hobart,AU,2021-02-14 03:40:20,-42.8794,147.3294,78.01,52,20,11.5
121,Marsabit,KE,2021-02-14 03:42:39,2.3284,37.9899,63.68,83,43,14.03
122,Cherskiy,RU,2021-02-14 03:39:25,68.75,161.3,-6.56,87,100,3.76
123,Kavieng,PG,2021-02-14 03:39:06,-2.5744,150.7967,84.61,73,65,8.37
124,Dauphin,CA,2021-02-14 03:42:40,51.1494,-100.0502,-23.8,62,1,10.36
125,Bairiki,KI,2021-02-14 03:42:40,1.3292,172.9752,75.2,94,90,3.44
126,Pandan,PH,2021-02-14 03:42:40,14.0453,124.1694,79.52,74,98,10.8
127,Merauke,ID,2021-02-14 03:42:40,-8.4667,140.3333,84.33,74,94,6.58
128,Cabra,ES,2021-02-14 03:42:40,37.4725,-4.4421,46.99,77,0,4.79
129,Castro,BR,2021-02-14 03:42:40,-24.7911,-50.0119,62.04,95,1,3.22
130,Kloulklubed,PW,2021-02-14 03:42:40,7.0419,134.2556,84.2,74,90,6.91
131,Bandarbeyla,SO,2021-02-14 03:42:41,9.4942,50.8122,73.74,73,64,12.19
132,Khanpur,PK,2021-02-14 03:42:41,28.6453,70.6567,75.16,18,54,2.35
133,San Patricio,US,2021-02-14 03:41:38,28.017,-97.5169,33.8,86,90,12.66
134,Carnarvon,AU,2021-02-14 03:39:27,-24.8667,113.6333,84.2,89,75,12.66
135,Baturaja,ID,2021-02-14 03:42:41,-4.1333,104.1667,84.15,71,98,4.63
136,Iberia,US,2021-02-14 03:42:41,29.9502,-91.7507,37.4,80,1,16.11
137,Andra,RU,2021-02-14 03:42:41,62.5147,65.8878,-14.35,88,96,7.23
138,Okato,NZ,2021-02-14 03:42:41,-39.2,173.8833,71.01,50,92,5.01
139,Tortoli,IT,2021-02-14 03:42:41,39.9256,9.6572,39.2,56,40,41.43
140,Beringovskiy,RU,2021-02-14 03:42:42,63.05,179.3167,1.83,93,100,16.04
141,Meadow Lake,US,2021-02-14 03:42:42,34.8014,-106.5436,48.99,49,90,21.85
142,Calbuco,CL,2021-02-14 03:42:42,-41.768,-73.1273,51.8,82,0,6.91
143,La Ronge,CA,2021-02-14 03:42:42,55.1001,-105.2842,-18.4,83,11,2.3
144,Moree,AU,2021-02-14 03:42:42,-29.4667,149.85,87.8,35,75,6.91
145,Te Anau,NZ,2021-02-14 03:42:42,-45.4167,167.7167,58.86,79,100,2.42
146,Saint-Joseph,RE,2021-02-14 03:42:42,-21.3667,55.6167,80.6,69,0,16.11
147,Salalah,OM,2021-02-14 03:42:00,17.0151,54.0924,64.4,55,0,5.75
148,Cidreira,BR,2021-02-14 03:42:43,-30.1811,-50.2056,73.27,84,98,4.94
149,Leningradskiy,RU,2021-02-14 03:42:43,69.3833,178.4167,-11.88,87,99,4.54
150,Veraval,IN,2021-02-14 03:42:43,20.9,70.3667,72.75,57,0,9.4
151,Tromso,NO,2021-02-14 03:42:43,69.6496,18.957,23.0,93,90,5.75
152,Xining,CN,2021-02-14 03:42:04,36.6167,101.7667,37.6,50,11,1.68
153,Botro,CI,2021-02-14 03:42:43,7.8525,-5.3106,77.0,88,15,11.5
154,Tiksi,RU,2021-02-14 03:42:43,71.6872,128.8694,-15.11,89,100,8.63
155,Kasongo-Lunda,CD,2021-02-14 03:42:43,-6.4667,16.8167,69.93,93,95,0.29
156,Anloga,GH,2021-02-14 03:42:43,5.7947,0.8973,82.4,89,20,10.36
157,Adrar,MR,2021-02-14 03:42:44,20.5022,-10.0711,62.64,26,0,10.87
158,Karratha,AU,2021-02-14 03:42:44,-20.7377,116.8463,85.95,54,25,11.36
159,Ponta Do Sol,PT,2021-02-14 03:42:44,32.6667,-17.1,54.0,42,0,1.99
160,Dharchula,IN,2021-02-14 03:42:44,29.85,80.5333,64.8,26,20,3.67
161,Severo-Kurilsk,RU,2021-02-14 03:42:44,50.6789,156.125,26.8,92,97,9.98
162,Tucuma,BR,2021-02-14 03:42:44,-0.1833,-50.05,76.77,92,100,10.89
163,Kiruna,SE,2021-02-14 03:42:44,67.8557,20.2251,1.4,85,5,4.61
164,Chokurdakh,RU,2021-02-14 03:42:44,70.6333,147.9167,-18.9,77,0,2.44
165,Norilsk,RU,2021-02-14 03:42:45,69.3535,88.2027,-23.6,84,100,2.08
166,Great Yarmouth,GB,2021-02-14 03:42:45,52.6083,1.7305,34.0,64,100,14.97
167,Ahipara,NZ,2021-02-14 03:42:45,-35.1667,173.1667,73.31,75,100,10.02
168,Hobyo,SO,2021-02-14 03:40:27,5.3505,48.5268,76.8,72,48,15.59
169,Nanortalik,GL,2021-02-14 03:42:45,60.1432,-45.2371,30.58,94,83,2.24
170,Vila,PT,2021-02-14 03:42:45,42.0304,-8.1588,46.99,96,100,4.63
171,Coihaique,CL,2021-02-14 03:42:45,-45.5752,-72.0662,55.4,67,0,3.44
172,Upernavik,GL,2021-02-14 03:42:45,72.7868,-56.1549,6.67,94,97,11.45
173,Avera,US,2021-02-14 03:42:45,33.194,-82.5271,41.0,93,90,6.91
174,Warrnambool,AU,2021-02-14 03:42:46,-38.3833,142.4833,68.0,64,87,12.01
