City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
211,Trincomalee,LK,8.5711,81.2335,78.48,76,12,9.19,few clouds
212,Provideniya,RU,64.3833,-173.3,14.0,73,75,13.42,broken clouds
213,Hami,CN,42.8,93.45,27.93,85,35,3.29,scattered clouds
214,Kruisfontein,ZA,-34.0033,24.7314,69.01,82,99,4.0,overcast clouds
215,Guerrero Negro,MX,27.9769,-114.0611,59.54,67,52,19.17,broken clouds
216,Viedma,AR,-40.8135,-62.9967,64.0,74,96,20.78,overcast clouds
217,Igarka,RU,67.4667,86.5833,-33.54,78,0,7.45,clear sky
218,Kolosovka,RU,56.4678,73.611,25.65,95,95,16.82,overcast clouds
219,Amparafaravola,MG,-17.5833,48.2167,66.38,95,100,1.83,overcast clouds
220,Colares,PT,38.7992,-9.4469,55.99,61,10,7.18,clear sky
221,Rio Grande,BR,-32.035,-52.0986,68.0,96,100,4.59,overcast clouds
222,Kananga,CD,-5.8958,22.4178,70.88,85,84,1.9,broken clouds
223,Warrnambool,AU,-38.3833,142.4833,65.73,62,100,9.89,overcast clouds
224,Aswan,EG,24.0934,32.907,61.47,31,0,10.4,clear sky
225,Longyearbyen,SJ,78.2186,15.6401,17.6,73,75,3.44,broken clouds
226,Skovorodino,RU,53.9833,123.9167,-11.87,86,100,5.7,overcast clouds
227,Emerald,AU,-23.5333,148.1667,84.2,70,75,12.66,broken clouds
228,Marawi,PH,7.9986,124.2928,80.01,80,66,5.99,broken clouds
229,Timra,SE,62.487,17.3257,16.0,100,0,3.44,clear sky
230,Sola,VU,-13.8833,167.55,86.0,79,75,12.37,broken clouds
231,Ozuluama,MX,21.6667,-97.85,58.8,88,99,9.33,overcast clouds
232,Tautira,PF,-17.7333,-149.15,86.0,70,40,13.8,light rain
233,Lata,PT,40.1629,-8.3327,50.0,87,100,4.88,overcast clouds
234,Kahului,US,20.8947,-156.47,82.4,54,40,13.8,scattered clouds
235,Lasa,IT,46.6166,10.7002,19.99,67,0,8.05,clear sky
236,Okha,RU,53.5739,142.9478,9.36,93,0,6.29,clear sky
237,Ardakan,IR,32.31,54.0175,44.6,26,0,6.91,clear sky
238,La Tuque,CA,47.4334,-72.7824,17.6,73,49,2.3,scattered clouds
239,Marshalltown,US,42.0494,-92.908,-9.0,64,90,12.66,overcast clouds
240,Dingle,PH,10.9995,122.6711,78.01,87,100,5.46,overcast clouds
241,Chokwe,MZ,-24.5333,32.9833,75.58,94,100,5.99,light rain
242,Souillac,MU,-20.5167,57.5167,73.4,94,40,5.28,scattered clouds
243,Kavieng,PG,-2.5744,150.7967,85.75,67,51,7.43,broken clouds
244,Yar-Sale,RU,66.8333,70.8333,-23.89,86,100,15.46,overcast clouds
245,Santa Catarina Mita,GT,14.45,-89.75,84.2,39,20,3.33,few clouds
246,Mubende,UG,0.5606,31.39,63.91,87,100,1.1,overcast clouds
247,Paita,PE,-5.0892,-81.1144,74.68,79,16,14.61,few clouds
248,Norsup,VU,-16.0667,167.3833,85.89,69,100,4.99,light rain
249,Maceio,BR,-9.6658,-35.7353,78.8,83,0,5.75,clear sky
250,Porto Novo,BJ,6.4965,2.6036,84.2,84,40,12.66,scattered clouds
251,Mirnyy,RU,62.5353,113.9611,-34.4,82,0,5.88,clear sky
252,Linhai,CN,28.85,121.1167,61.0,75,0,5.3,clear sky
253,Coihaique,CL,-45.5752,-72.0662,60.8,48,0,4.61,clear sky
254,Ahipara,NZ,-35.1667,173.1667,71.53,86,100,17.85,overcast clouds
255,San Ignacio,BZ,17.1561,-89.0714,84.2,74,20,3.27,few clouds
256,Saint-Joseph,RE,-21.3667,55.6167,77.0,73,0,3.44,clear sky
257,Yulara,AU,-25.2406,130.9889,84.2,24,44,18.41,scattered clouds
258,Jiwani,PK,25.05,61.7417,70.05,73,0,9.84,clear sky
259,Bhum,IN,18.4667,75.6667,66.9,35,0,4.7,clear sky
260,Fort Nelson,CA,58.8053,-122.7002,-7.6,77,20,5.75,few clouds
261,Fenoarivo,MG,-18.933,47.4354,62.6,94,75,2.3,broken clouds
262,Silver City,US,32.7701,-108.2803,23.0,93,90,8.05,light snow
263,Ghansor,IN,22.65,79.95,58.73,40,0,3.22,clear sky
264,Vila,PT,42.0304,-8.1588,48.0,79,99,5.28,overcast clouds
265,Mitu,CO,1.1983,-70.1733,74.73,95,100,1.88,overcast clouds
266,Tema,GH,5.667,-0.0166,82.4,89,20,9.22,few clouds
267,Yeppoon,AU,-23.1333,150.7333,86.0,48,20,10.36,few clouds
268,Harper,LR,4.375,-7.7169,78.78,88,100,6.08,overcast clouds
269,Jampur,PK,29.6441,70.5954,57.02,37,0,5.64,clear sky
270,Makakilo City,US,21.3469,-158.0858,82.4,57,75,10.36,broken clouds
271,Poum,NC,-20.2333,164.0167,79.95,76,2,5.1,clear sky
272,Homa Bay,KE,-0.5273,34.4571,69.6,64,41,5.7,scattered clouds
273,Katobu,ID,-4.9408,122.5276,83.28,71,97,8.41,overcast clouds
